ID,Oneida,English,Audio File
1,"Tho yʌkéhseke’","Will you be there?","./audio/1.mp3"
2,"Kátsha’ yʌséhseke’","Where will you be?","./audio/2.mp3"
3,"tho kʌ yeheséskwe’","Were you there?","./audio/3.mp3"
4,"Kátsha’ nu: nihséhskwe’","Where were you?","./audio/4.mp3"
5,"Kátsha’ nihséhse̲’","Where are you?","./audio/5.mp3"
6,"Yah tho tyakésheke’","I won’t be there","./audio/6.mp3"
7,"yah tho tyehekéskwe’","I was not there","./audio/7.mp3"
8,"Tho yehekéhskwe’","I was there","./audio/8.mp3"
9,"Kʌ tho i:kéhse̲’","I am here","./audio/9.mp3"
10,"Hao’ swatekhú:ni̲","All of you, come and eat","./audio/10.mp3"
11,"Owistóhsehli’ kʌ tesatuhutsyu:ni̲","do you want butter?","./audio/11.mp3"
12,"tesatuhutsyuni kʌ kʌ́tsi’","Do you want fish?","./audio/12.mp3"
13,"katuhkályaks kih","I am hungry","./audio/13.mp3"
14,"Hʌ né: ki’ kanutunyúhe̲’","Yes I’m thinking about it.","./audio/14.mp3"
15,"Hʌ́: né: ki’ í:kehlhe̲’","Yes, I wanted to.","./audio/15.mp3"
16,"Tʌsnanátalihte’ kʌ khále’ ʌsnatsihalʌ kʌ otsíhkwa̲’","Are you going to mash potatoes and cook turnips?","./audio/16.mp3"
17,"Hʌ́: se’ wah","I sure am!","./audio/17.mp3"
18,"Sate’wahlutá:ne’ kʌ skawihló:wan̲e̲’","are you going to roast a turkey?","./audio/18.mp3"
19,"Hʌ́: né: ki’ kanutunyú:he̲’","yes, I am thinking about it.","./audio/19.mp3"
20,"Satekhwalá:ne’ kʌ ni’isé: tsi’ náhte’ yutanuhelá:tuhe̲’","Are you going to have a thanksgiving feast?","./audio/20.mp3"
21,"kakhwahé:le̲’","feast","./audio/21.mp3"
22,"kahwa:tsí:le̲’","family","./audio/22.mp3"
23,"loti’khwaká:te̲’","they have lots of food","./audio/23.mp3"
24,"kakhwaku","good food","./audio/24.mp3"
25,"skawihlowane’ o’wá:lu̲’","turkey meat","./audio/25.mp3"
26,"wa’yathoku","a lot of pies","./audio/26.mp3"
27,"watna’talú:takwe̲’","homemade bread","./audio/27.mp3"
28,"tekananatalí:tu̲","mashed potatoes","./audio/28.mp3"
29,"otsíhkwa̲’","turnip","./audio/29.mp3"
30,"onu’uslakó: wá:yat","pumpkin pie","./audio/30.mp3"
31,"o:nʌstáse’ wʌhnitatati","month of new corn","./audio/31.mp3"
32,"Tho niyotityóhwake’ nén oshaheta̲","How many groups of beans is there?","./audio/32.mp3"
33,"shakotiyenashn̲e̲","police station","./audio/33.mp3"
34,"yutenata’asta̲","gas station","./audio/34.mp3"
35,"latinakle’ tehutlásta’","community centre","./audio/35.mp3"
36,"yutatlihunyʌní:tha̲’","school","./audio/36.mp3"
37,"teyukhiyatlihwakanelha’ thatítlu’","band office","./audio/37.mp3"
38,"yutlʌnayʌtakhwa̲","church","./audio/38.mp3"
39,"kʌ’nihʌná:sa tethuwatisnyétha̲’","daycare","./audio/39.mp3"
40,"tethutkʌnyé:tha̲’","fairgrounds","./audio/40.mp3"
41,"kalihunyʌnitsla’ lonatstelistu lati’tlu’","Education office","./audio/41.mp3"
42,"twaskóhu̲","bridge","./audio/42.mp3"
43,"Nikaha:wi̲","Time","./audio/43.mp3"
44,"Kukwí:te̲","Spring","./audio/44.mp3"
45,"Lonu’weskwaníhe’ tehutshikwá’eks","They enjoy playing ball ","./audio/45.mp3"
46,"Hanyo tehsalatat","Come on, Run fast!","./audio/46.mp3"
47,"Sahkwislu","Try hard!","./audio/47.mp3"
48,"ʌskwení nʌ kih","You can do it!","./audio/48.mp3"
49,"ísi ya’sá:ti̲","You throw it!","./audio/49.mp3"
50,"Takʌ’ nʌsa’nikulyak","Don't give up!","./audio/50.mp3"
51,"Té:sek","You pick it up","./audio/51.mp3"
52,"Hanyo! Hanyo!","Come on! Come on!","./audio/52.mp3"
53,"Onkwat káti kʌ nén siksik otahsa̲’","Is the mullen used for medicine?","./audio/53.mp3"
54,"Náhte’ né: onukwat nén olhohte’kó:","What do you use burdock as a medicine for?","./audio/54.mp3"
55,"Ihseks kʌ nise: nén onitshewʌ́:ta̲’","Do you eat milkweed?","./audio/55.mp3"
56,"Seká:se’ kʌ nén oneklʌta̲’","Do you like morels?","./audio/56.mp3"
57,"Se’nikúlalak tá:kʌ só:tsi yʌsatla’nʌtak tsi’ yotú:ni nén yakohʌ:tálahse̲","Watch, don’t get to close to the poison ivy","./audio/57.mp3"
58,"Oyu’kwa’uwe né: lutsta’ nén ukwehuwe nʌ tʌhatitalʌ nén shukwaya’tisu’","Native people use Indian tobacco when they talk to the Creator.","./audio/58.mp3"
59,"Teyotskalatko:","Smartweed","./audio/59.mp3"
60,"Sáyʌ: kʌ","Do you have _____?","./audio/60.mp3"
61,"tah","no","./audio/61.mp3"
62,"hʌ","yes","./audio/62.mp3"
63,"watahslóte̲’","stick standing","./audio/63.mp3"
64,"Wahsatlʌnayʌna káti’ kʌ nén yautatókʌhtan̲e̲’","Are you going to church on Sunday?","./audio/64.mp3"
65,"Tah  Ʌtakta ki’ nʌ thoyʌhʌ́ke̲","No, I will go on Saturday.","./audio/65.mp3"
66,"Kanatá:ke kʌ wahse’ nén ʌyólhʌn̲e̲’","Are you going to town tomorrow?","./audio/66.mp3"
67,"Yautʌtá:u nén thé:tʌ̲","Yesterday was Monday.","./audio/67.mp3"
68,"Náhte’ káti’ nén thé:tʌ̲","What was yesterday?","./audio/68.mp3"
69,"Hʌ nu’uwa’ nén wiskatút","Yes, today is Friday.","./audio/69.mp3"
70,"Sanúhte’ kʌ náhte’ nu’uwa’ niwʌhnisló:tʌ̲","Do you know what kind of day it is today?","./audio/70.mp3"
71,"Yautatokʌ́htu̲","Sunday","./audio/71.mp3"
72,"Ʌtakta","Saturday","./audio/72.mp3"
73,"Wiskatút","Friday","./audio/73.mp3"
74,"Kayelihatút","Thursday","./audio/74.mp3"
75,"Ahsʌhatút","Wednesday","./audio/75.mp3"
76,"Teknihatút","Tuesday","./audio/76.mp3"
77,"Yautʌtá:u","Monday","./audio/77.mp3"
78,"thé:tʌ̲:","yesterday","./audio/78.mp3"
79,"Ʌyólhʌn̲e̲’","Tomorrow","./audio/79.mp3"
80,"tsi’niwʌhnisló:tʌ̲","The kind of day","./audio/80.mp3"
81,"Tekni yawʌlé: niwʌhnítake nén tsyohslát","There are twelve months in one year.","./audio/81.mp3"
82,"Tó: kati’ né: niwʌhnítake nén tsyohslát","How many months in one year?","./audio/82.mp3"
83,"Hʌ  nʌ kyok kwi tsyohslát sʌha’ wa’yukwakstʌhane̲’","Yes, we are one year older.","./audio/83.mp3"
84,"Kwa’ nyóh kwi yosnóle: tsyohslát yuskáhewe̲’","How fast the year went by.","./audio/84.mp3"
85,"Hʌ nʌ ki’ á:se yohslá:te̲","Yes it is the New Year.","./audio/85.mp3"
86,"Nʌ kʌ á:se yohslá:te̲","Is it New Year's now?","./audio/86.mp3"
87,"a:sé yohsláte̲","new year","./audio/87.mp3"
88,"tsyohslát","one year","./audio/88.mp3"
89,"swʌhnítat","one month","./audio/89.mp3"
90,"swʌ:tát","one week","./audio/90.mp3"
91,"swahsútat","one night","./audio/91.mp3"
92,"swʌhnisláte̲","one day","./audio/92.mp3"
93,"kwa’suteke̲","night time","./audio/93.mp3"
94,"kwʌ’teke̲","day time","./audio/94.mp3"
95,"astehtsi̲'","morning","./audio/95.mp3"
96,"yo'kalas","evening","./audio/96.mp3"
97,"Hʌ é:so ki’ kanyé:yʌ̲","Yes there is a lot of snow (on the ground)","./audio/97.mp3"
98,"Yothó:le kʌ tsi’ nú: thanákehl̲e̲’","Is is cold where he lives?","./audio/98.mp3"
99,"Otholé:ke né: nu: thanakehle’ shakó:wihe̲’","Santa Claus lives up north.","./audio/99.mp3"
100,"ónyʌte̲’","snow","./audio/100.mp3"
101,"teyulahtakwanéta’asta̲","over shoes","./audio/101.mp3"
102,"teyóhsehs ahta’shúha̲","high top shoes","./audio/102.mp3"
103,"otholé:ke̲","north","./audio/103.mp3"
104,"tsi’ ní wʌhnislo:tʌse̲’","The kind of day (weather)","./audio/104.mp3"
105,"yohtánawʌ atslunya’khwa̲","warm clothing","./audio/105.mp3"
106,"teyonyo’kwatá:se̲","Snow is twirling around.","./audio/106.mp3"
107,"lutó:lats","they are hunting","./audio/107.mp3"
108,"kanyé:yʌ̲","there is snow on the ground","./audio/108.mp3"
109,"yothó:le̲","it is cold","./audio/109.mp3"
110,"Sanute’ kʌ tsi’ nʌ ya’kahewe’ tsi’ na’teyutatáwihe̲’","Do you know it is time to exchange gifts?","./audio/110.mp3"
111,"Tah  tsi’ ki’ ní: tkakwaheleko nú: wahke̲’","No! I am going where there’s lots to eat(or feast)","./audio/111.mp3"
112,"Wahslutotakó:na’ káti’ kʌ","Are you going to the Christmas concert?","./audio/112.mp3"
113,"Oskanú:tu né: ʌthatilú:tʌ shakó:wihe’ lá:osleht waté:slehse̲’","reindeer will pull Santa’s sleigh","./audio/113.mp3"
114,"Nʌ káti kʌ né: saya’taslú:ni nén kalute̲’","Did you decorate the tree yet?","./audio/114.mp3"
115,"Hʌ nʌ ki’ yakahwe’ utá:le’ shakó:wihe̲’","Yes, it is time for Santa Claus to come.","./audio/115.mp3"
116,"Nʌ kʌ tho yakahwe’ nén wʌhnisló:wan","Is it almost Christmas?","./audio/116.mp3"
117,"kakhwahele̲’","feast","./audio/117.mp3"
118,"latilutotakwas","Christmas concert","./audio/118.mp3"
119,"kalu:tóte̲’","(there is) a tree standing","./audio/119.mp3"
120,"kaya’taslú:ni̲","decorated","./audio/120.mp3"
121,"kakhwaku’ushu̲","good food","./audio/121.mp3"
122,"waté:slehse̲’","sleigh","./audio/122.mp3"
123,"shakó:wihe̲’","Santa Claus or he who gives","./audio/123.mp3"
124,"oskanú:tu̲","reindeer","./audio/124.mp3"
125,"teyutatá:wihe̲’","exchanging gifts","./audio/125.mp3"
126,"wʌhnislo:wán","big day or Christmas","./audio/126.mp3"
127,"Takʌ’ ʌsesa’nikulhʌ tsi’ ʌsatste’ yunihtyákta̲","Don’t forget to wear the scarf.","./audio/127.mp3"
128,"Ʌsatste’ kwi: anyá:nawʌ̲","you wear gloves","./audio/128.mp3"
129,"Ʌwá:tu ki’ onyʌte’ laya’tunyá:tu ʌtwatú:ni̲","we can make a snow man","./audio/129.mp3"
130,"Ʌwá:tu ki’ onyʌtá:ke ʌtwatnutolyahte̲’","we can play on the snow","./audio/130.mp3"
131,"Nok ʌwá:tu nén kohsla’kekha’ atslunyá:khwa’ ʌtwatste̲’","we now have to wear winter clothing","./audio/131.mp3"
132,"Wata’klokwaskó: wʌhni’tatati’ latina’tukhwa’ nén lotikstʌhoku","the elders call it the big snow moon.","./audio/132.mp3"
133,"Nʌ ki’ tsi’ nihatika:latuhe’ wʌhni’tatati","it is now Storytelling Moon","./audio/133.mp3"
134,"teyohsi:tute̲","longjohns","./audio/134.mp3"
135,"wata’klokwaskó: wʌhni’tatati","big snow moon","./audio/135.mp3"
