"ID","Oneida","Dialect","Oneida Audio","English","Oneida Example","Oneida Example Audio","Example in English","Image","Tags"
"1","Tho yʌkéhseke’","Oneida (Canada)","[sound:Oneida-1.mp3]","Will you be there?",,,,,"Oneida_(Canada) Locations:_Being_Somewhere"
"2","Kátsha’ yʌséhseke’","Oneida (Canada)","[sound:Oneida-2.mp3]","Where will you be?",,,,,"Oneida_(Canada) Locations:_Being_Somewhere"
"3","tho kʌ yeheséskwe’","Oneida (Canada)","[sound:Oneida-3.mp3]","Were you there?",,,,,"Oneida_(Canada) Locations:_Being_Somewhere"
"4","Kátsha’ nu: nihséhskwe’","Oneida (Canada)","[sound:Oneida-4.mp3]","Where were you?",,,,,"Oneida_(Canada) Locations:_Being_Somewhere"
"5","Kátsha’ nihséhse̲’","Oneida (Canada)","[sound:Oneida-5.mp3]","Where are you?",,,,,"Oneida_(Canada) Locations:_Being_Somewhere"
"6","Yah tho tyakésheke’","Oneida (Canada)","[sound:Oneida-6.mp3]","I won’t be there",,,,,"Oneida_(Canada) Locations:_Being_Somewhere"
"7","yah tho tyehekéskwe’","Oneida (Canada)","[sound:Oneida-7.mp3]","I was not there",,,,,"Oneida_(Canada) Locations:_Being_Somewhere"
"8","Tho yehekéhskwe’","Oneida (Canada)","[sound:Oneida-8.mp3]","I was there",,,,,"Oneida_(Canada) Locations:_Being_Somewhere"
"9","Kʌ tho i:kéhse̲’","Oneida (Canada)","[sound:Oneida-9.mp3]","I am here",,,,,"Oneida_(Canada) Locations:_Being_Somewhere"
"10","Hao’ swatekhú:ni̲","Oneida (Canada)","[sound:Oneida-10.mp3]","All of you, come and eat",,,,,"Oneida_(Canada) Food"
"11","Owistóhsehli’ kʌ tesatuhutsyu:ni̲","Oneida (Canada)","[sound:Oneida-11.mp3]","do you want butter?",,,,,"Oneida_(Canada) Food"
"12","tesatuhutsyuni kʌ kʌ́tsi’","Oneida (Canada)","[sound:Oneida-12.mp3]","Do you want fish?",,,,,"Oneida_(Canada) Food"
"13","katuhkályaks kih","Oneida (Canada)","[sound:Oneida-13.mp3]","I am hungry",,,,,"Oneida_(Canada) Food"
"14","Hʌ né: ki’ kanutunyúhe̲’","Oneida (Canada)","[sound:Oneida-14.mp3]","Yes I’m thinking about it.",,,,,"Oneida_(Canada) Yes_and_No"
"15","Hʌ́: né: ki’ í:kehlhe̲’","Oneida (Canada)","[sound:Oneida-15.mp3]","Yes, I wanted to.",,,,,"Oneida_(Canada) Yes_and_No"
"16","Tʌsnanátalihte’ kʌ khále’ ʌsnatsihalʌ kʌ otsíhkwa̲’","Oneida (Canada)","[sound:Oneida-16.mp3]","Are you going to mash potatoes and cook turnips?",,,,,"Oneida_(Canada) Food"
"17","Hʌ́: se’ wah","Oneida (Canada)","[sound:Oneida-17.mp3]","I sure am!",,,,,"Oneida_(Canada) Celebrations:_Thanksgiving"
"18","Sate’wahlutá:ne’ kʌ skawihló:wan̲e̲’","Oneida (Canada)","[sound:Oneida-18.mp3]","are you going to roast a turkey?",,,,,"Oneida_(Canada) Food Celebrations:_Thanksgiving"
"19","Hʌ́: né: ki’ kanutunyú:he̲’","Oneida (Canada)","[sound:Oneida-19.mp3]","yes, I am thinking about it.",,,,,"Oneida_(Canada) Celebrations:_Thanksgiving"
"20","Satekhwalá:ne’ kʌ ni’isé: tsi’ náhte’ yutanuhelá:tuhe̲’","Oneida (Canada)","[sound:Oneida-20.mp3]","Are you going to have a thanksgiving feast?",,,,,"Oneida_(Canada) Celebrations:_Thanksgiving"
"21","kakhwahé:le̲’","Oneida (Canada)","[sound:Oneida-21.mp3]","feast",,,,,"Oneida_(Canada) Food"
"22","kahwa:tsí:le̲’","Oneida (Canada)","[sound:Oneida-22.mp3]","family",,,,,"Oneida_(Canada) Family"
"23","loti’khwaká:te̲’","Oneida (Canada)","[sound:Oneida-23.mp3]","they have lots of food",,,,,"Oneida_(Canada) Food"
"24","kakhwaku","Oneida (Canada)","[sound:Oneida-24.mp3]","good food",,,,,"Oneida_(Canada) Food"
"25","skawihlowane’ o’wá:lu̲’","Oneida (Canada)","[sound:Oneida-25.mp3]","turkey meat",,,,,"Oneida_(Canada) Food Celebrations:_Thanksgiving"
"26","wa’yathoku","Oneida (Canada)","[sound:Oneida-26.mp3]","a lot of pies",,,,,"Oneida_(Canada) Food"
"27","watna’talú:takwe̲’","Oneida (Canada)","[sound:Oneida-27.mp3]","homemade bread",,,,,"Oneida_(Canada) Food"
"28","tekananatalí:tu̲","Oneida (Canada)","[sound:Oneida-28.mp3]","mashed potatoes",,,,,"Oneida_(Canada) Food"
"29","otsíhkwa̲’","Oneida (Canada)","[sound:Oneida-29.mp3]","turnip",,,,,"Oneida_(Canada) Food"
"30","onu’uslakó: wá:yat","Oneida (Canada)","[sound:Oneida-30.mp3]","pumpkin pie",,,,,"Oneida_(Canada) Food"
"31","o:nʌstáse’ wʌhnitatati","Oneida (Canada)","[sound:Oneida-31.mp3]","month of new corn",,,,,"Oneida_(Canada) Food"
"32","Tho niyotityóhwake’ nén oshaheta̲","Oneida (Canada)","[sound:Oneida-32.mp3]","How many groups of beans is there?",,,,,"Oneida_(Canada) Food"
"33","shakotiyenashn̲e̲","Oneida (Canada)","[sound:Oneida-33.mp3]","police station",,,,,"Oneida_(Canada) Locations"
"34","yutenata’asta̲","Oneida (Canada)","[sound:Oneida-34.mp3]","gas station",,,,,"Oneida_(Canada) Locations"
"35","latinakle’ tehutlásta’","Oneida (Canada)","[sound:Oneida-35.mp3]","community centre",,,,,"Oneida_(Canada) Locations"
"36","yutatlihunyʌní:tha̲’","Oneida (Canada)","[sound:Oneida-36.mp3]","school",,,,,"Oneida_(Canada) Locations"
